organism,MAG,12C,13C,GC,shift,M_light,M_HeavyMax,M_Lab,EAF,MAG_taxa_combined,contig_taxa,taxa
day0_DO_0_env_cell_control_000000000775,day0-DO-0-env-cell-control_bin_57,1.7068902718907426,1.7081614401025311,0.585,0.0012711682117885204,307.98116,317.663968003,308.21052205500075,0.02342433187623298,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000000851,day0-DO-0-env-cell-control_bin_22,1.7073208005702927,1.7085111368147876,0.6089,0.0011903362444949384,307.9930144,317.66390279902,308.2077457193684,0.02195715071097009,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000001653,,,,,,,,,,,S_Homo sapiens,S_Homo sapiens
day0_DO_0_env_cell_control_000000002581,day0-DO-0-env-cell-control_bin_57,1.7033751827800245,1.704872903604476,0.5243,0.0014977208244515428,307.95105279999996,317.66413360473996,308.2218238605115,0.027567171375947646,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000003819,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000004693,day0-DO-0-env-cell-control_bin_19,1.6965925128467485,1.695520925897033,0.4372,-0.0010715869497155417,307.9078512,317.66437123096,307.7133731314228,-0.01971163524403068,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes)
day0_DO_0_env_cell_control_000000005199,,,,,,,,,,,O_Synechococcales,O_Synechococcales
day0_DO_0_env_cell_control_000000005304,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000005867,,,,,,,,,,,S_Synechococcus sp. WH 8101,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000006050,day0-DO-0-env-cell-control_bin_19,1.6961676305020406,1.694228688649361,0.4207,-0.001938941852679621,307.89966719999995,317.66441624626,307.54769753590284,-0.0356443836283724,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes)
