organism,contig_taxa
day0_DO_0_env_cell_control_000000001653,S_Homo sapiens
day0_DO_0_env_cell_control_000000003819,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000005199,O_Synechococcales
day0_DO_0_env_cell_control_000000005304,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000005867,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000007045,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000007397,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000007990,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000008830,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000009314,SK_Bacteria
day0_DO_0_env_cell_control_000000009325,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000009416,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000010014,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000010413,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000011540,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000011920,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000012210,ST_Pelodictyon luteolum DSM 273
day0_DO_0_env_cell_control_000000012278,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000012647,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000012792,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000012858,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000013080,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000014049,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000016404,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000016515,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000017504,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000017929,O_Sphingomonadales
day0_DO_0_env_cell_control_000000017949,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000018590,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000018915,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000019923,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000020070,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000021215,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000021376,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000021733,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000021808,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000021858,O_Synechococcales
day0_DO_0_env_cell_control_000000021919,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000022604,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000022767,O_Synechococcales
day0_DO_0_env_cell_control_000000022835,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000023385,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000024047,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000025767,O_Synechococcales
day0_DO_0_env_cell_control_000000026123,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000027196,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000027837,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000027916,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000028917,S_Synechococcus sp. NB0720_010
day0_DO_0_env_cell_control_000000028918,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000029419,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000030414,SK_Bacteria
day0_DO_0_env_cell_control_000000032098,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000032173,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000032405,S_Homo sapiens
day0_DO_0_env_cell_control_000000032987,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000033948,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000034011,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000036597,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000036983,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000037436,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000037453,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000037699,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000037842,S_Synechococcus sp. NB0720_010
day0_DO_0_env_cell_control_000000037925,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000038080,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000038216,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000038595,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000039792,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000040166,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000040341,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000041431,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000041633,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000042183,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000042188,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000042307,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000045686,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000045712,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000046373,ST_Pelodictyon luteolum DSM 273
day0_DO_0_env_cell_control_000000046619,SK_Bacteria
day0_DO_0_env_cell_control_000000046858,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000046961,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000047083,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000047358,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000047554,S_Synechococcus sp. A15-44
day0_DO_0_env_cell_control_000000048180,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000048209,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000049137,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000049541,O_Rhodobacterales
day0_DO_0_env_cell_control_000000050289,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000051368,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000052300,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000052497,S_Synechococcus sp. CBW1107
day0_DO_0_env_cell_control_000000052549,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000053144,CL_Terrabacteria group
day0_DO_0_env_cell_control_000000053252,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000053583,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000053626,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000054147,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000054548,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000055192,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000055401,S_Homo sapiens
day0_DO_0_env_cell_control_000000055414,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000055722,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000057289,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000057607,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000059351,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000060820,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000060841,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000061179,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000061206,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000061831,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000062028,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000062455,C_Alphaproteobacteria
day0_DO_0_env_cell_control_000000062633,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000062639,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000063496,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000063633,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000064880,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000064901,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000065036,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000066318,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000067114,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000067245,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000067349,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000067487,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000068063,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000068211,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000068889,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000069460,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000069848,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000070119,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000070403,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000070414,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000072104,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000072609,C_Epsilonproteobacteria
day0_DO_0_env_cell_control_000000072801,NR_cellular organisms
day0_DO_0_env_cell_control_000000072837,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000073530,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000073890,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000074299,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000074570,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000076124,O_Synechococcales
day0_DO_0_env_cell_control_000000076613,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000077066,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000077424,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000077465,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000077740,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000078160,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000078601,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000079227,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000080364,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000080572,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000080703,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000081250,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000081843,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000082413,SK_Bacteria
day0_DO_0_env_cell_control_000000082431,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000083131,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000083466,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000083487,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000084103,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000085109,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000085210,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000085252,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000087176,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000087412,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000088538,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000088721,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000088865,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000088913,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000089255,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000089565,SK_Bacteria
day0_DO_0_env_cell_control_000000089850,F_Roseobacteraceae
day0_DO_0_env_cell_control_000000090271,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000090275,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000090506,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000091392,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000091598,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000091619,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000091695,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000092194,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000093275,O_Synechococcales
day0_DO_0_env_cell_control_000000093349,SK_Bacteria
day0_DO_0_env_cell_control_000000094369,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000095020,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000095532,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000095589,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000095706,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000095726,SK_Bacteria
day0_DO_0_env_cell_control_000000096978,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000097460,S_Synechococcus sp. CBW1108
day0_DO_0_env_cell_control_000000097574,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000098056,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000098675,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000098902,C_Cyanophyceae
day0_DO_0_env_cell_control_000000100001,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000100318,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000100967,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000101312,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000101403,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000101526,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000101539,CL_Terrabacteria group
day0_DO_0_env_cell_control_000000101938,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000102087,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000102422,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000102853,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000102863,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000103026,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000103041,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000103863,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000104427,F_Roseobacteraceae
day0_DO_0_env_cell_control_000000105017,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000105054,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000105141,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000105266,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000105495,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000106537,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000106610,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000106639,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000106883,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000106943,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000107193,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000107989,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000108600,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000108817,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000109463,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000109554,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000109776,P_Pseudomonadota
day0_DO_0_env_cell_control_000000110003,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000110022,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000110552,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000111059,SK_Bacteria
day0_DO_0_env_cell_control_000000112136,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000114017,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000114949,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000115231,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000115251,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000115942,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000116746,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000117601,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000117826,S_Homo sapiens
day0_DO_0_env_cell_control_000000118148,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000118858,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000120888,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000120933,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000120999,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000122195,S_Homo sapiens
day0_DO_0_env_cell_control_000000122870,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000123132,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000123539,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000123980,S_Synechococcus sp. CBW1108
day0_DO_0_env_cell_control_000000124274,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000125196,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000125646,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000127549,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000127664,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000129559,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000130735,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000131469,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000131763,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000131883,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000132306,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000132447,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000132670,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000132714,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000132735,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000132879,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000133534,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000133790,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000133849,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000134092,C_Cyanophyceae
day0_DO_0_env_cell_control_000000134481,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000134793,F_Roseobacteraceae
day0_DO_0_env_cell_control_000000135354,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000135966,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000136800,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000137062,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000138140,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000138626,SK_Bacteria
day0_DO_0_env_cell_control_000000138828,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000139324,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000139846,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000139975,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000141174,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000141241,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000142683,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000142879,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000144061,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000144182,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000144771,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000146196,O_Synechococcales
day0_DO_0_env_cell_control_000000146219,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000146348,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000147087,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000147458,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000148980,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000149438,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000149672,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000149872,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000150103,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000150159,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000150409,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000150848,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000150954,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000151012,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000152002,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000152687,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000154470,SK_Bacteria
day0_DO_0_env_cell_control_000000156779,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000157301,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000157723,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000157793,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000158969,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000159178,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000159263,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000159368,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000159512,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000159674,SK_Bacteria
day0_DO_0_env_cell_control_000000160614,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000160910,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000162739,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000163964,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000164915,O_Rhodobacterales
day0_DO_0_env_cell_control_000000164946,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000166094,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000166175,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000166680,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000166948,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000167742,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000168226,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000168963,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000170060,S_Synechococcus sp. NB0720_010
day0_DO_0_env_cell_control_000000170068,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000170427,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000171042,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000172080,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000172096,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000172447,SK_Bacteria
day0_DO_0_env_cell_control_000000173420,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000174445,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000176084,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000176211,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000176222,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000177248,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000177273,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000178991,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000179280,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000179668,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000181369,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000181382,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000181814,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000182365,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000183694,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000184202,SK_Bacteria
day0_DO_0_env_cell_control_000000187016,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000187432,CL_Terrabacteria group
day0_DO_0_env_cell_control_000000188305,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000188448,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000189890,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000190256,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000190294,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000191047,ST_Thiocystis violascens DSM 198
day0_DO_0_env_cell_control_000000191735,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000191905,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000195528,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000195949,O_Rhodobacterales
day0_DO_0_env_cell_control_000000196337,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000196381,SK_Bacteria
day0_DO_0_env_cell_control_000000196567,S_Synechococcus sp. WH 8101
