samples,MAG,relative_abun,treatment,day,sample,fraction,MAG_taxa_combined,density,qpcr_ratio,rel_abun_qpcr_norm
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_1,1.1213440357769333e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_QWPN01 (NCBI: G_Candidatus Kuenenia),1.69034136,0.113818084,1.2231960883076627e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_100,1.3646933631314554e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_JAIPIQ01 (NCBI: P_Candidatus Marinimicrobia),1.69034136,0.113818084,1.488648916177847e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_101,6.6319902780864176e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Synechococcus_C (NCBI: G_Synechococcus),1.69034136,0.113818084,7.234376165588757e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_102,1.6114001840834663e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,C_Desulfarculia (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,1.7577641999080842e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_103,7.918560734331006e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_Kiritimatiellales,1.69034136,0.113818084,8.637806245207645e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_105,3.271774702911016e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JABICL01 (NCBI: C_Candidatus Peribacteria),1.69034136,0.113818084,3.568951089708951e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_106,8.064709963537579e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_SM23-33 (NCBI: C_Phycisphaerae),1.69034136,0.113818084,8.797230257616822e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_107,9.284266829363382e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Tichowtungia (NCBI: O_Kiritimatiellales),1.69034136,0.113818084,1.012755988006253e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_108,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_QWPN01 (NCBI: P_Planctomycetes),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_109,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_CAIXZC01 (NCBI: O_Myxococcales),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_11,1.4193492544450744e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_VGXO01 (NCBI: P_Planctomycetes),1.69034136,0.113818084,1.5482692203171262e-07
