organism,12C,13C,GC,shift,M_light,M_HeavyMax,M_Lab,EAF,lowest_taxonomy
day0_DO_0_env_virus_control_000000000003,1.694922712610585,1.699175770091481,0.43079999999999996,0.004253057480895883,307.90467679999995,317.66438869143997,308.6772998106681,0.0782848282107727,Caudoviricetes
day0_DO_0_env_virus_control_000000000004,1.6981915687383236,1.6933901323366694,0.3146,-0.004801436401654202,307.84704159999995,317.66470570827994,306.97664039268625,-0.08767146771091082,Caudoviricetes
day0_DO_0_env_virus_control_000000000010,1.6951542788298444,1.6970460391420996,0.3953,0.0018917603122552418,307.88706879999995,317.66448554254,308.2306649815903,0.0347513086923497,Caudoviricetes
day0_DO_0_env_virus_control_000000000014,1.6991223222736527,1.693492278160436,0.313,-0.005630044113216659,307.84624799999995,317.66471007339993,306.82619904083555,-0.10273643987960172,Caudoviricetes
day0_DO_0_env_virus_control_000000000017,1.6951603397847643,1.6994363206897547,0.46159999999999995,0.004275980904990373,307.9199536,317.66430466288,308.69667059305226,0.07882370540146134,Caudoviricetes
day0_DO_0_env_virus_control_000000000019,1.698777436520943,1.6934817318594724,0.3293,-0.005295704661470557,307.85433279999995,317.66466560373993,306.8946393226709,-0.09673770153325634,Caudoviricetes
day0_DO_0_env_virus_control_000000000020,1.6979929781140788,1.6948027974907702,0.33240000000000003,-0.0031901806233085583,307.85587039999996,317.66465714631994,307.2774723470158,-0.058312074443112316,Caudoviricetes
day0_DO_0_env_virus_control_000000000023,1.698435477850242,1.693230476570524,0.31829999999999997,-0.005205001279718013,307.84887679999997,317.66469561393995,306.90544749779775,-0.0950451126032961,Caudoviricetes
day0_DO_0_env_virus_control_000000000024,1.6985497997650592,1.6937688775325017,0.3251,-0.0047809222325574385,307.8522496,317.66467706218,306.9857353154856,-0.08732653516551678,Caudoviricetes
day0_DO_0_env_virus_control_000000000026,1.7002771623198352,1.7027656314585418,0.5139,0.002488469138706595,307.9458944,317.66416197802,308.39659377513027,0.045861163151246324,Caudoviricetes
day0_DO_0_env_virus_control_000000000028,1.6978744603420894,1.6955780946546395,0.36119999999999997,-0.0022963656874499527,307.8701552,317.66457857416,307.4537625413527,-0.04204081754329227,Caudoviricetes
day0_DO_0_env_virus_control_000000000030,1.6958535541650888,1.6976630067725547,0.4094,0.0018094526074659,307.8940624,317.66444707492,308.22258116429106,0.03325029322591397,Unclassified
day0_DO_0_env_virus_control_000000000036,1.6948617889905349,1.6980897940189503,0.3803,0.0032280050284154704,307.8796288,317.66452646554,308.4660111211832,0.05926135020974487,Caudoviricetes
day0_DO_0_env_virus_control_000000000038,1.6941905586451877,1.6977987953816338,0.4201,0.0036082367364460577,307.8993696,317.66441788318,308.555124533145,0.06640704163702973,Caudoviricetes
day0_DO_0_env_virus_control_000000000040,1.6981140588909256,1.694371977942774,0.3458,-0.0037420809481516493,307.8625168,317.66462058843996,307.1840897810754,-0.06844327794208768,Caudoviricetes
day0_DO_0_env_virus_control_000000000058,1.6952105858545528,1.6976481947414046,0.4685,0.0024376088868518497,307.92337599999996,317.6642858383,308.36615093549784,0.04495007977358648,Caudoviricetes
day0_DO_0_env_virus_control_000000000059,1.6985908127959264,1.6935607863005555,0.3414,-0.005030026495370876,307.8603344,317.66463259252,306.9486694909235,-0.09195295471992175,Caudoviricetes
day0_DO_0_env_virus_control_000000000062,1.694735760360177,1.6987899475521593,0.41859999999999997,0.004054187191982361,307.89862559999995,317.66442197547997,308.6351880149402,0.0745845461358007,Caudoviricetes
day0_DO_0_env_virus_control_000000000068,1.704443122315598,1.7045822614732973,0.5312,0.0001391391576992529,307.9544752,317.66411478016,307.9796145113258,0.0025603375693958683,Caudoviricetes
day0_DO_0_env_virus_control_000000000069,1.6985708264843518,1.6967803041518636,0.3657,-0.0017905223324881092,307.8723872,317.66456629725997,307.5478482545272,-0.032774376206277975,Caudoviricetes
day0_DO_0_env_virus_control_000000000075,1.696605841028763,1.6961139981691342,0.3947,-0.0004918428596287772,307.8867712,317.66448717946,307.79751540096476,-0.009027052874860046,Caudoviricetes
day0_DO_0_env_virus_control_000000000077,1.697655316317843,1.6953556184998946,0.366,-0.002299697817948365,307.87253599999997,317.66456547879994,307.4554820830829,-0.042117875263485094,Caudoviricetes
day0_DO_0_env_virus_control_000000000079,1.697879871350699,1.6961114801586363,0.384,-0.0017683911920627349,307.881464,317.66451637119997,307.56079651443525,-0.03241361802154797,Caudoviricetes
day0_DO_0_env_virus_control_000000000080,1.695703463895315,1.6967224954169806,0.39380000000000004,0.0010190315216656032,307.88632479999995,317.66448963484,308.07134881908183,0.018711892692992095,Caudoviricetes
day0_DO_0_env_virus_control_000000000090,1.6963902610921093,1.6997109273114455,0.4547,0.0033206662193361325,307.91653119999995,317.66432348745997,308.5192745940069,0.061146718449694874,Caudoviricetes
day0_DO_0_env_virus_control_000000000091,1.703745228536641,1.7045931757932231,0.5647,0.0008479472565821045,307.9710912,317.66402338546,308.12436719309784,0.015637449719171415,Caudoviricetes
day0_DO_0_env_virus_control_000000000093,1.698350986259831,1.6939568421501892,0.3268,-0.004394144109641784,307.85309279999996,317.66467242423994,307.05658438371483,-0.08027834274204308,Caudoviricetes
day0_DO_0_env_virus_control_000000000099,1.709435600972427,1.7083138083584382,0.4705,-0.0011217926139888146,307.92436799999996,317.66428038189997,307.72229704658525,-0.020516147010550902,Caudoviricetes
day0_DO_0_env_virus_control_000000000101,1.6980707578755232,1.694738383687637,0.34369999999999995,-0.0033323741878861224,307.8614752,317.66462631765995,307.2573133129626,-0.06094450994424817,Caudoviricetes
day0_DO_0_env_virus_control_000000000105,1.696189443069926,1.697177271434197,0.3858,0.0009878283642710262,307.88235679999997,317.66451146044,308.06166160946464,0.018126100169769076,Caudoviricetes
day0_DO_0_env_virus_control_000000000111,1.6964031297717783,1.696630972420238,0.386,0.00022784264845965296,307.882456,317.6645109148,307.9238074647304,0.004180303010408046,Caudoviricetes
day0_DO_0_env_virus_control_000000000112,1.7020333149007187,1.7039616796510737,0.5318,0.0019283647503549606,307.9547728,317.66411314324,308.30367850200486,0.03553573512803248,Caudoviricetes
day0_DO_0_env_virus_control_000000000116,1.6962023808137514,1.6967067818455313,0.3188,0.0005044010317798442,307.84912479999997,317.66469424983995,307.94067013559084,0.009222903884939114,Caudoviricetes
day0_DO_0_env_virus_control_000000000122,1.6986348538662945,1.6930012284087654,0.3153,-0.005633625457529101,307.8473888,317.66470379853996,306.8263942745255,-0.10284368969818648,Caudoviricetes
day0_DO_0_env_virus_control_000000000123,1.703255902143304,1.703638583585634,0.5579999999999999,0.0003826814423300018,307.967768,317.6640416644,308.0369610962934,0.007056752123746686,Caudoviricetes
day0_DO_0_env_virus_control_000000000125,1.7007409982944635,1.6981919790327717,0.4902,-0.0025490192616917096,307.93413919999995,317.66422663635996,307.47261680891256,-0.04690541631411776,Caudoviricetes
day0_DO_0_env_virus_control_000000000133,1.6978350173402614,1.6945511453589983,0.345,-0.00328387198126312,307.86211999999995,317.6646227709999,307.2666676859441,-0.06006990920571797,Caudoviricetes
day0_DO_0_env_virus_control_000000000149,1.6976899637094343,1.6965390302649517,0.3521,-0.0011509334444825825,307.86564159999995,317.6646034007799,307.6569268930164,-0.02106298651631087,Caudoviricetes
day0_DO_0_env_virus_control_000000000155,1.6977042049117848,1.6955023826870805,0.3795,-0.0022018222247042196,307.879232,317.66452864810003,307.4799307945361,-0.04035279183652385,Caudoviricetes
day0_DO_0_env_virus_control_000000000173,1.698558485871098,1.693729915309402,0.3452,-0.004828570561695944,307.86221919999997,317.66462222535995,306.9870450679034,-0.0882894639298365,Caudoviricetes
day0_DO_0_env_virus_control_000000000177,1.694529925087397,1.6991414048049265,0.43270000000000003,0.004611479717529399,307.9056192,317.66438350786,308.7435510044684,0.0849103845117191,Caudoviricetes
day0_DO_0_env_virus_control_000000000178,1.695102587191935,1.697948906501316,0.3335,0.0028463193093810624,307.85641599999997,317.66465414529995,308.3733508852385,0.052118487197438425,Caudoviricetes
day0_DO_0_env_virus_control_000000000180,1.6967658956092622,1.696327751166446,0.3833,-0.0004381444428160908,307.8811168,317.66451828094,307.8016147303727,-0.00803591844278807,Caudoviricetes
day0_DO_0_env_virus_control_000000000190,1.6941319525871537,1.6986388426395957,0.4313,0.004506890052442092,307.90492479999995,317.66438732733997,308.72404260281326,0.08299796153839488,Caudoviricetes
day0_DO_0_env_virus_control_000000000191,1.6981603867276593,1.6950799056941919,0.3547,-0.003080481033467475,307.86693119999995,317.66459630745993,307.3084573068355,-0.056367301893867114,Caudoviricetes
day0_DO_0_env_virus_control_000000000194,1.6954328741152902,1.70098402011239,0.46140000000000003,0.005551145997099827,307.91985439999996,317.66430520852,308.9280382645909,0.1023126507976435,Caudoviricetes
day0_DO_0_env_virus_control_000000000197,1.698262836849988,1.695734537938887,0.3336,-0.002528298911100846,307.8564656,317.66465387247996,307.39814245362794,-0.04620936055995133,Caudoviricetes
day0_DO_0_env_virus_control_000000000199,1.7018237596637054,1.6969062891522781,0.3095,-0.004917470511427213,307.84451199999995,317.66471962209994,306.9549861009351,-0.08957460245049027,Caudoviricetes
day0_DO_0_env_virus_control_000000000201,1.6949152417639772,1.6984991052903733,0.4386,0.0035838635263960583,307.90854559999997,317.66436741148,308.5596119063558,0.06599458816992042,Caudoviricetes
day0_DO_0_env_virus_control_000000000208,1.6952221599305581,1.6983778369159988,0.4114,0.003155676985440614,307.8950544,317.66444161852,308.46820484603995,0.058016065538835274,Caudoviricetes
day0_DO_0_env_virus_control_000000000209,1.6952486743274613,1.699106277480204,0.46840000000000004,0.003857603152742639,307.92332639999995,317.66428611111996,308.6240176983989,0.0711331332858328,Caudoviricetes
day0_DO_0_env_virus_control_000000000218,1.6990342024214704,1.6943942223330963,0.3814,-0.004639980088374074,307.8801744,317.66452346452,307.03936856055003,-0.08497882914982129,
